image,label
image_0001.jpg,0
image_0002.jpg,0
image_0003.jpg,0
image_0004.jpg,0
image_0005.jpg,0
image_0006.jpg,0
image_0007.jpg,0
image_0008.jpg,0
image_0009.jpg,0
image_0010.jpg,0
image_0011.jpg,0
image_0012.jpg,0
image_0013.jpg,0
image_0014.jpg,0
image_0015.jpg,0
image_0016.jpg,0
image_0017.jpg,0
image_0018.jpg,0
image_0019.jpg,0
image_0020.jpg,0
image_0021.jpg,0
image_0022.jpg,0
image_0023.jpg,0
image_0024.jpg,0
image_0025.jpg,0
image_0026.jpg,0
image_0027.jpg,0
image_0028.jpg,0
image_0029.jpg,0
image_0030.jpg,0
image_0031.jpg,0
image_0032.jpg,0
image_0033.jpg,0
image_0034.jpg,0
image_0035.jpg,0
image_0036.jpg,0
image_0037.jpg,0
image_0038.jpg,0
image_0039.jpg,0
image_0040.jpg,0
image_0041.jpg,0
image_0042.jpg,0
image_0043.jpg,0
image_0044.jpg,0
image_0045.jpg,0
image_0046.jpg,0
image_0047.jpg,0
image_0048.jpg,0
image_0049.jpg,0
image_0050.jpg,0
image_0051.jpg,0
image_0052.jpg,0
image_0053.jpg,0
image_0054.jpg,0
image_0055.jpg,0
image_0056.jpg,0
image_0057.jpg,0
image_0058.jpg,0
image_0059.jpg,0
image_0060.jpg,0
image_0061.jpg,0
image_0062.jpg,0
image_0063.jpg,0
image_0064.jpg,0
image_0065.jpg,0
image_0066.jpg,0
image_0067.jpg,0
image_0068.jpg,0
image_0069.jpg,0
image_0070.jpg,0
image_0071.jpg,0
image_0072.jpg,0
image_0073.jpg,0
image_0074.jpg,0
image_0075.jpg,0
image_0076.jpg,0
image_0077.jpg,0
image_0078.jpg,0
image_0079.jpg,0
image_0080.jpg,0
image_0081.jpg,0
image_0082.jpg,0
image_0083.jpg,0
image_0084.jpg,0
image_0085.jpg,0
image_0086.jpg,0
image_0087.jpg,0
image_0088.jpg,0
image_0089.jpg,0
image_0090.jpg,0
image_0091.jpg,0
image_0092.jpg,0
image_0093.jpg,0
image_0094.jpg,0
image_0095.jpg,0
image_0096.jpg,0
image_0097.jpg,0
image_0098.jpg,0
image_0099.jpg,0
